ts_code,symbol,vol_ratio,rise_pct,upper_shadow,close,trade_date,winner_close,winner_low90,zone_chips,note
603959.SH,603959,50.78,3.3,1.76,4.7,20260506,82.27,0,82.27,82.3%
605055.SH,605055,2.71,6.16,2.94,11.9,20260506,81.75,51.12,30.63,30.6%
605228.SH,605228,2.44,4.93,0.97,15.1,20260506,89.64,9.96,79.68,79.7%
688171.SH,688171,3.26,2.74,2.3,53.21,20260506,68.54,14.5,54.04,54.0%
688207.SH,688207,2.08,5.11,1.26,15.85,20260506,71.75,24.57,47.18,47.2%
688229.SH,688229,2.49,10.83,2.5,95.4,20260506,93.88,21.96,71.92,71.9%
688233.SH,688233,2.43,14.21,3.47,81.41,20260506,87.08,39.09,47.99,48.0%
688235.SH,688235,2.03,5.14,0.05,246.86,20260506,74.07,5.12,68.95,68.9%
688247.SH,688247,2.42,3.23,0.65,9.6,20260506,29.08,0.13,28.95,28.9%
688299.SH,688299,2.26,5.09,2.41,18.78,20260506,77.42,14.37,63.05,63.1%
688316.SH,688316,2.25,9.54,1.67,76.57,20260506,83.94,1.45,82.49,82.5%
688345.SH,688345,3.32,6.0,2.5,55.65,20260506,93.81,24.28,69.53,69.5%
688398.SH,688398,2.14,5.92,1.44,33.8,20260506,92.97,49.45,43.52,43.5%
688525.SH,688525,2.32,17.37,2.61,311.12,20260506,97.05,43.52,53.53,53.5%
688558.SH,688558,2.63,15.59,2.05,41.15,20260506,97.92,88.99,8.93,8.9%
688603.SH,688603,2.25,6.52,1.07,99.3,20260506,97.6,4.59,93.01,93.0%
688611.SH,688611,2.51,7.52,0.16,67.8,20260506,100.01,53.1,46.91,46.9%
688626.SH,688626,2.97,3.48,1.62,60.68,20260506,52.8,5.02,47.78,47.8%
688716.SH,688716,2.64,6.79,0.93,34.3,20260506,88.11,2.61,85.5,85.5%
688719.SH,688719,2.03,10.01,3.4,65.96,20260506,88.97,33.94,55.03,55.0%
688787.SH,688787,2.15,7.76,1.38,140.2,20260506,86.52,7.32,79.2,79.2%
