index,code,date,token,token_7,close_b1,close_b2,close_b3
沪深300,sh000300,2025-03-17,顶分型,顶分型,4006.56,3996.79,4007.7200000000003
沪深300,sh000300,2025-03-18,包含关系,包含关系,3996.79,4007.7200000000003,4010.17
沪深300,sh000300,2025-03-19,包含关系,包含关系,4007.7200000000003,4010.17,3974.9900000000002
沪深300,sh000300,2025-03-20,简单下跌,方向,4010.17,3974.9900000000002,3914.7000000000003
沪深300,sh000300,2025-03-21,底分型,底分型,3974.9900000000002,3914.7000000000003,3934.85
沪深300,sh000300,2025-03-24,包含关系,包含关系,3914.7000000000003,3934.85,3932.3
沪深300,sh000300,2025-03-25,顶分型,顶分型,3934.85,3932.3,3919.36
沪深300,sh000300,2025-03-26,跌涨跌_反转,转折,3932.3,3919.36,3932.4100000000003
沪深300,sh000300,2025-03-27,包含关系,包含关系,3919.36,3932.4100000000003,3915.17
沪深300,sh000300,2025-03-28,包含关系,包含关系,3932.4100000000003,3915.17,3887.31
沪深300,sh000300,2025-03-31,底分型,底分型,3915.17,3887.31,3887.6800000000003
沪深300,sh000300,2025-04-01,包含关系,包含关系,3887.31,3887.6800000000003,3884.39
沪深300,sh000300,2025-04-02,简单下跌,方向,3887.6800000000003,3884.39,3861.5
沪深300,sh000300,2025-04-03,简单下跌,方向,3884.39,3861.5,3589.44
沪深300,sh000300,2025-04-07,底分型,底分型,3861.5,3589.44,3650.76
沪深300,sh000300,2025-04-08,包含关系,包含关系,3589.44,3650.76,3686.79
沪深300,sh000300,2025-04-09,简单上涨,方向,3650.76,3686.79,3735.12
沪深300,sh000300,2025-04-10,简单上涨,方向,3686.79,3735.12,3750.52
沪深300,sh000300,2025-04-11,包含关系,包含关系,3735.12,3750.52,3759.14
沪深300,sh000300,2025-04-14,顶分型,顶分型,3750.52,3759.14,3761.23
沪深300,sh000300,2025-04-15,简单上涨,方向,3759.14,3761.23,3772.82
沪深300,sh000300,2025-04-16,包含关系,包含关系,3761.23,3772.82,3772.2200000000003
沪深300,sh000300,2025-04-17,跌涨跌_诱多,转折,3772.82,3772.2200000000003,3772.52
沪深300,sh000300,2025-04-18,简单上涨,方向,3772.2200000000003,3772.52,3784.88
沪深300,sh000300,2025-04-21,涨跌涨,转折,3772.52,3784.88,3783.9500000000003
